soil_moisture,weather,tank_capacity,humidity,temperature,rain_forecast,time_of_day,crop_stage,soil_type,motor
18,0,80,42,36,0,2,1,1,1
55,1,75,65,29,0,1,2,2,0
12,0,90,38,40,0,3,1,0,1
48,2,85,78,26,1,1,2,1,0
30,1,60,55,32,0,2,1,1,1
65,0,70,50,34,0,2,3,2,0
22,1,45,60,31,0,3,2,0,1
58,2,80,85,25,1,0,1,1,0
10,0,95,30,42,0,2,0,0,1
40,1,65,58,29,0,1,1,2,0
28,0,50,48,33,0,2,2,1,1
72,1,40,55,27,0,3,3,2,0
20,0,30,45,35,0,2,1,0,1
33,1,25,60,28,0,1,0,1,0
15,0,85,35,39,0,3,2,0,1
50,2,90,82,24,1,0,1,2,0
27,1,55,57,31,0,2,1,1,1
60,0,65,46,34,0,2,3,1,0
19,0,40,44,37,0,3,2,0,1
45,1,70,62,30,0,1,1,2,0
